Name,Price,Category,Question,Answer,Company,PriceQ,PriceA,CompanyQ,CompanyA,VariantQ,VariantA
Rio,20,Biscuit,What is Rio?,Rio is a vanilla cream biscuit,Peek Freans,What is the price of Rio?,The price of Rio is 20rs,Who is the manufacturer of Rio?,The manufacturer of Rio is Peek Freans,How many variants are there of Rio?,
Prince,20,Biscuit,What is Prince?,Prince is chocolate cream biscuit,LU,What is the price of Prince?,The price of Prince is 20rs,Who is the manufacturer of Prince?,The manufacturer of Prince is LU,How many variants are there of Prince?,
Day Dream,20,Biscuit,What is Day Dream?,Day Dream is a dark chocolate biscuit,Bisconni,What is the price of Day Dream?,The price of Day Dream is 20rs,Who is the manufacturer of Day Dream?,The manufacturer of Day Dream is Bisconni,How many variants are there of Day Dream?,
Tuc,20,Biscuit,What is Tuc?,"Tuc is a salty, crispy cracker biscuit",LU,What is the price of Tuc?,The price of Tuc is 20rs,Who is the manufacturer of Tuc?,The manufacturer of Tuc is LU,How many variants are there of Tuc?,
Tiger,20,Biscuit,What is Tiger?,Tiger is a energy-boosting biscuit,LU,What is the price of Tiger?,The price of Tiger is 20rs,Who is the manufacturer of Tiger?,The manufacturer of Tiger is LU,How many variants are there of Tiger?,
Zeera Plus,20,Biscuit,What is Zeera Plus?,Zeera Plus is a baked biscuit with Zeera,LU,What is the price of Zeera Plus?,The price of Zeera Plus is 20rs,Who is the manufacturer of Zeera Plus?,The manufacturer of Zeera Plus is LU,How many variants are there of Zeera Plus?,
Chocolate Chip,20,Biscuit,What is Chocolate Chip?,Chocolate Chip is a baked cookies biscuit sprinkled with chips,EBM,What is the price of Chocolate Chip?,The price of Chocolate Chip is 20rs,Who is the manufacturer of Chocolate Chip?,The manufacturer of Chocolate Chip is EBM,How many variants are there of Chocolate Chip?,
Hilal Cup cake,15,Cake,What is Hilal Cup cake?,"Hilal Cupkakes are soft, moist sponge cakes that come with a creamy or gooey filling at the center",Peek Freans,What is the price of Hilal Cup cake?,The price of Hilal Cup cake is 15rs,Who is the manufacturer of Hilal Cup cake?,The manufacturer of Hilal Cup cake is Peek Freans,How many variants are there of Hilal Cup cake?,
Sooper Cake,15,Cake,What is Sooper Cake?,Sooper cake is a light fluffy plain cake,Sooper,What is the price of Sooper Cake?,The price of Sooper Cake is 15rs,Who is the manufacturer of Sooper Cake?,The manufacturer of Sooper Cake is Sooper,How many variants are there of Sooper Cake?,
Hoest,5,Candy,What is Hoest?,"Hoest candy refers to a range of candies produced by the Hoest confectionery company, which includes throat lozenges to soothe coughs and sore throats, and other confectionery products like mints, butter toffees, and chocolate-filled candies",Hilal Foods,What is the price of Hoest?,The price of Hoest is 5rs,Who is the manufacturer of Hoest?,The manufacturer of Hoest is Hilal Foods,How many variants are there of Hoest?,There are no variants (sizes) of Hoest?
Chaska,5,Candy,What is Chaska?,"Chaska candy is a popular, tangy, and fruity flavored candy, often a green mango or amrood flavor",EBM,What is the price of Chaska?,The price of Chaska is 5rs,Who is the manufacturer of Chaska?,The manufacturer of Chaska is EBM,How many variants are there of Chaska?,There are no variants (sizes) of Chaska?
Hajmola Imli,5,Candy,What is Hajmola Imli?,Hajmola Imli candy is a popular Indian candy made with tamarind that is known for its tangy and sweet flavor and is also marketed for its digestive benefits,Dabur,What is the price of Hajmola Imli?,The price of Hajmola Imli is 5rs,Who is the manufacturer of Hajmola Imli?,The manufacturer of Hajmola Imli is Dabur,How many variants are there of Hajmola Imli?,There are no variants (sizes) of Hajmola Imli?
Chooran Chatni,5,Candy,What is Chooran Chatni?,"Choran Chatni candy is a sweet and tangy Pakistani hard candy, often coated in a smooth shell, that features a mix of traditional chutney flavors like tamarind and red chili, and is infused with spices",Local,What is the price of Chooran Chatni?,The price of Chooran Chatni is 5rs,Who is the manufacturer of Chooran Chatni?,The manufacturer of Chooran Chatni is Local,How many variants are there of Chooran Chatni?,There are no variants (sizes) of Chooran Chatni?
Aamrus,5,Candy,What is Aamrus?,"Aamrus candy is a tropical, mango-flavored hard candy, often with a soft or juicy mango-flavored center",Shezan,What is the price of Aamrus?,The price of Aamrus is 5rs,Who is the manufacturer of Aamrus?,The manufacturer of Aamrus is Shezan,How many variants are there of Aamrus?,There are no variants (sizes) of Aamrus?
Frooto Apple,5,Candy,What is Frooto Apple?,"rooto Apple is a type of small, chewy candy with a soft crunch",Shezan,What is the price of Frooto Apple?,The price of Frooto Apple is 5rs,Who is the manufacturer of Frooto Apple?,The manufacturer of Frooto Apple is Shezan,How many variants are there of Frooto Apple?,There are no variants (sizes) of Frooto Apple?
Panpasand,5,Candy,What is Panpasand?,"Pan Pasand is a traditional Pakistani candy that combines the flavors of traditional ""pan"" ingredients like aniseed, desiccated coconut, and mint",Hilal Foods,What is the price of Panpasand?,The price of Panpasand is 5rs,Who is the manufacturer of Panpasand?,The manufacturer of Panpasand is Hilal Foods,How many variants are there of Panpasand?,There are no variants (sizes) of Panpasand?
Eclairs,5,Candy,What is Eclairs?,Eclairs candy is a chewy toffee sweet with a chocolate center,Hilal Foods,What is the price of Eclairs?,The price of Eclairs is 5rs,Who is the manufacturer of Eclairs?,The manufacturer of Eclairs is Hilal Foods,How many variants are there of Eclairs?,There are no variants (sizes) of Eclairs?
Frooto Amrood,5,Candy,What is Frooto Amrood?,Frooto Amrood candy is a type of hard or soft-crunch candy from Pakistan that is flavored like guava,Shezan,What is the price of Frooto Amrood?,The price of Frooto Amrood is 5rs,Who is the manufacturer of Frooto Amrood?,The manufacturer of Frooto Amrood is Shezan,How many variants are there of Frooto Amrood?,There are no variants (sizes) of Frooto Amrood?
Frooto Orange,5,Candy,What is Frooto Orange?,"Frooto Orange is a type of fruity, orange-flavored candy",Shezan,What is the price of Frooto Orange?,The price of Frooto Orange is 5rs,Who is the manufacturer of Frooto Orange?,The manufacturer of Frooto Orange is Shezan,How many variants are there of Frooto Orange?,There are no variants (sizes) of Frooto Orange?
Softmint ice,5,Candy,What is Softmint ice?,"Softmint ice candy is a type of hard-shell, chewy mint candy with a cool and refreshing taste",Hilal Foods,What is the price of Softmint ice?,The price of Softmint ice is 5rs,Who is the manufacturer of Softmint ice?,The manufacturer of Softmint ice is Hilal Foods,How many variants are there of Softmint ice?,There are no variants (sizes) of Softmint ice?
Frooto,5,Candy,What is Frooto?,"Frooto candy is a brand of fruit-flavored, center-filled chewy candies",Shezan,What is the price of Frooto?,The price of Frooto is 5rs,Who is the manufacturer of Frooto?,The manufacturer of Frooto is Shezan,How many variants are there of Frooto?,There are no variants (sizes) of Frooto?
Fruit Gala,5,Candy,What is Fruit Gala?,"Fruit Gala is a Chewy, soft, and stretchy fruit-flavored candy",Shezan,What is the price of Fruit Gala?,The price of Fruit Gala is 5rs,Who is the manufacturer of Fruit Gala?,The manufacturer of Fruit Gala is Shezan,How many variants are there of Fruit Gala?,There are no variants (sizes) of Fruit Gala?
Fanta,5,Candy,What is Fanta?,"anta candy is a line of fruit-flavored candies, most commonly orange-flavored, inspired by the taste of Fanta soda",Coca-Cola,What is the price of Fanta?,The price of Fanta is 5rs,Who is the manufacturer of Fanta?,The manufacturer of Fanta is Coca-Cola,How many variants are there of Fanta?,There are no variants (sizes) of Fanta?
Khopra,5,Candy,What is Khopra?,Khopra candy is a sweet and chewy confectionery made with a coconut filling and a milky or caramel outer shell,Local,What is the price of Khopra?,The price of Khopra is 5rs,Who is the manufacturer of Khopra?,The manufacturer of Khopra is Local,How many variants are there of Khopra?,There are no variants (sizes) of Khopra?
Mentos,100,Chew,What is Mentos?,"Mentos are a brand of chewy candies known for their hard exterior and soft, chewy interior",Perfetti Van Melle,What is the price of Mentos?,The price of Mentos is 100rs,Who is the manufacturer of Mentos?,The manufacturer of Mentos is Perfetti Van Melle,How many variants are there of Mentos?,
Bubble Pop,5,Chew Gum,What is Bubble Pop?,"Bubble Pop Chew Gum is a specific brand of bubble gum, like CandyLand or Trident, known for its chewy, stretchy texture designed for blowing large bubbles",CandyLand,What is the price of Bubble Pop?,The price of Bubble Pop is 5rs,Who is the manufacturer of Bubble Pop?,The manufacturer of Bubble Pop is CandyLand,How many variants are there of Bubble Pop?,
Joe Soft,5,Chew Gum,What is Joe Soft?,Joe Soft Bubble is a chewy bubble gum with a soft outer layer and a sour filling,CandyLand,What is the price of Joe Soft?,The price of Joe Soft is 5rs,Who is the manufacturer of Joe Soft?,The manufacturer of Joe Soft is CandyLand,How many variants are there of Joe Soft?,
Ding Dong,5,Chew Gum,What is Ding Dong?,"Ding Dong is a brand of bubble gum from Pakistan, made by Hilal Foods, known for its soft, chewy texture, long-lasting flavor, and ability to blow large bubbles",Hilal Foods,What is the price of Ding Dong?,The price of Ding Dong is 5rs,Who is the manufacturer of Ding Dong?,The manufacturer of Ding Dong is Hilal Foods,How many variants are there of Ding Dong?,
Boom Boom,5,Chew Gum,What is Boom Boom?,"It is a fruity, soft, and chewy bubble gum that comes in various pack sizes, and is popular in Pakistan",Hilal Foods,What is the price of Boom Boom?,The price of Boom Boom is 5rs,Who is the manufacturer of Boom Boom?,The manufacturer of Boom Boom is Hilal Foods,How many variants are there of Boom Boom?,
Fresh up,5,Chew Gum,What is Fresh up?,"Fresh Up Bubble is a type of bubble gum made by Hilal Foods, available in various flavors like spearmint and strawberry",CandyLand,What is the price of Fresh up?,The price of Fresh up is 5rs,Who is the manufacturer of Fresh up?,The manufacturer of Fresh up is CandyLand,How many variants are there of Fresh up?,
Lays,30,Chips,What is Lays?,Lay's is a brand of potato chips,PepsiCo,What is the price of Lays?,The price of Lays is 30rs,Who is the manufacturer of Lays?,The manufacturer of Lays is PepsiCo,How many variants are there of Lays?,
Wavy,30,Chips,What is Wavy?,"Wavy Lays are a line of potato chips by Lay's that have a thick, crispy texture with deep ridges, making them ideal for dipping",PepsiCo,What is the price of Wavy?,The price of Wavy is 30rs,Who is the manufacturer of Wavy?,The manufacturer of Wavy is PepsiCo,How many variants are there of Wavy?,
Slanty,30,Chips,What is Slanty?,"Slanty chips are a popular, light, and crunchy snack made from potato starch, potato flakes, and vegetable oil",Kolson,What is the price of Slanty?,The price of Slanty is 30rs,Who is the manufacturer of Slanty?,The manufacturer of Slanty is Kolson,How many variants are there of Slanty?,
Kurkure,30,Chips,What is Kurkure?,"Kurkure is crunchy, puffed snacks made from rice, corn, and lentils",PepsiCo,What is the price of Kurkure?,The price of Kurkure is 30rs,Who is the manufacturer of Kurkure?,The manufacturer of Kurkure is PepsiCo,How many variants are there of Kurkure?,
Kurleez,30,Chips,What is Kurleez?,"Kurleez are a brand of crispy, crunchy potato chips",Ismail Industries,What is the price of Kurleez?,The price of Kurleez is 30rs,Who is the manufacturer of Kurleez?,The manufacturer of Kurleez is Ismail Industries,How many variants are there of Kurleez?,
Cheetos,30,Chips,What is Cheetos?,"Cheetos are a puffed cornmeal snack, similar to a crunchy or puffy corn curl",PepsiCo,What is the price of Cheetos?,The price of Cheetos is 30rs,Who is the manufacturer of Cheetos?,The manufacturer of Cheetos is PepsiCo,How many variants are there of Cheetos?,
Now,20,Chocolate,What is Now?,Now is a crispy and crunchy wafer bar with a chocolate filling,LU,What is the price of Now?,The price of Now is 20rs,Who is the manufacturer of Now?,The manufacturer of Now is LU,How many variants are there of Now?,
Paradise,20,Chocolate,What is Paradise?,Paradise is a coconut-filled chocolate bar,EBM,What is the price of Paradise?,The price of Paradise is 20rs,Who is the manufacturer of Paradise?,The manufacturer of Paradise is EBM,How many variants are there of Paradise?,
Jubilee,20,Chocolate,What is Jubilee?,"Jubilee is a creamy, rich milk chocolate",Hilal Foods,What is the price of Jubilee?,The price of Jubilee is 20rs,Who is the manufacturer of Jubilee?,The manufacturer of Jubilee is Hilal Foods,How many variants are there of Jubilee?,
Sonnet,20,Chocolate,What is Sonnet?,Sonnet is a smooth milk chocolate with a crunchy peanut and creamy fudge or caramel interior,EBM,What is the price of Sonnet?,The price of Sonnet is 20rs,Who is the manufacturer of Sonnet?,The manufacturer of Sonnet is EBM,How many variants are there of Sonnet?,
Snickers,200,Chocolate,What is Snickers?,"Snickers bars are a combination of smooth nougat, chewy caramel, roasted peanuts, and milk chocolate",Mars,What is the price of Snickers?,The price of Snickers is 200rs,Who is the manufacturer of Snickers?,The manufacturer of Snickers is Mars,How many variants are there of Snickers?,
Dairy Milk,50,Chocolate,What is Dairy Milk?,"Dairy milk is a milk chocolate produced by Cadbury, known for its smooth, creamy texture",Mondelez,What is the price of Dairy Milk?,The price of Dairy Milk is 50rs,Who is the manufacturer of Dairy Milk?,The manufacturer of Dairy Milk is Mondelez,How many variants are there of Dairy Milk?,
Capstan,15,Cigarette,What is Capstan?,"A Capstan cigarette is a British brand of cigarettes, currently owned by Imperial Brands",PTC,What is the price of Capstan?,The price of Capstan is 15rs,Who is the manufacturer of Capstan?,The manufacturer of Capstan is PTC,How many variants are there of Capstan?,There are no variants (sizes) of Capstan?
Gold Leaf,15,Cigarette,What is Gold Leaf?,"A Gold Leaf cigarette is a specific brand of cigarette, most notably John Player Gold Leaf, popular in countries like Pakistan, Bangladesh, and others in South Asia and the Persian Gulf",PTC,What is the price of Gold Leaf?,The price of Gold Leaf is 15rs,Who is the manufacturer of Gold Leaf?,The manufacturer of Gold Leaf is PTC,How many variants are there of Gold Leaf?,There are no variants (sizes) of Gold Leaf?
Gold Flake,15,Cigarette,What is Gold Flake?,"Gold Flake is a brand of cigarettes produced by ITC, a company in India",PTC,What is the price of Gold Flake?,The price of Gold Flake is 15rs,Who is the manufacturer of Gold Flake?,The manufacturer of Gold Flake is PTC,How many variants are there of Gold Flake?,There are no variants (sizes) of Gold Flake?
Dunhill,15,Cigarette,What is Dunhill?,Dunhill is a British cigarette brand owned and manufactured by Alfred Dunhill Limited and British American Tobacco,BAT,What is the price of Dunhill?,The price of Dunhill is 15rs,Who is the manufacturer of Dunhill?,The manufacturer of Dunhill is BAT,How many variants are there of Dunhill?,There are no variants (sizes) of Dunhill?
Morven Gold,15,Cigarette,What is Morven Gold?,Morven Gold is a brand of cigarette,PTC,What is the price of Morven Gold?,The price of Morven Gold is 15rs,Who is the manufacturer of Morven Gold?,The manufacturer of Morven Gold is PTC,How many variants are there of Morven Gold?,There are no variants (sizes) of Morven Gold?
John Player,15,Cigarette,What is John Player?,"John Player is a brand of cigarettes, originally founded in Nottingham, England, with a long history in the tobacco industry",BAT,What is the price of John Player?,The price of John Player is 15rs,Who is the manufacturer of John Player?,The manufacturer of John Player is BAT,How many variants are there of John Player?,There are no variants (sizes) of John Player?
Marlobolo Crafted,15,Cigarette,What is Marlobolo Crafted?,"Marlboro Crafted is a specific type of Marlboro cigarette, often a more affordable, regionally-produced version",Marlboro,What is the price of Marlobolo Crafted?,The price of Marlobolo Crafted is 15rs,Who is the manufacturer of Marlobolo Crafted?,The manufacturer of Marlobolo Crafted is Marlboro,How many variants are there of Marlobolo Crafted?,There are no variants (sizes) of Marlobolo Crafted?
Pine,15,Cigarette,What is Pine?,"Pine Lights American Taste delivers a light, smooth smoking experience",Local,What is the price of Pine?,The price of Pine is 15rs,Who is the manufacturer of Pine?,The manufacturer of Pine is Local,How many variants are there of Pine?,There are no variants (sizes) of Pine?
Dot,150,Condom,What is Dot?,Dot is a condom,Local,What is the price of Dot?,The price of Dot is 150rs,Who is the manufacturer of Dot?,The manufacturer of Dot is Local,How many variants are there of Dot?,There are no variants (sizes) of Dot?
Josh,150,Condom,What is Josh?,"Josh is a brand of condoms, manufactured in Pakistan and distributed internationally by DKT International",Durex,What is the price of Josh?,The price of Josh is 150rs,Who is the manufacturer of Josh?,The manufacturer of Josh is Durex,How many variants are there of Josh?,There are no variants (sizes) of Josh?
Durex,150,Condom,What is Durex?,Durex is a Condomondom,Reckitt,What is the price of Durex?,The price of Durex is 150rs,Who is the manufacturer of Durex?,The manufacturer of Durex is Reckitt,How many variants are there of Durex?,There are no variants (sizes) of Durex?
Sathi,150,Condom,What is Sathi?,Sathi is a condom,Local,What is the price of Sathi?,The price of Sathi is 150rs,Who is the manufacturer of Sathi?,The manufacturer of Sathi is Local,How many variants are there of Sathi?,There are no variants (sizes) of Sathi?
Blueband,80,Cream,What is Blueband?,"Blue Band is a brand of plant-based margarine and spreads made from vegetable oils, known for its use in breakfasts and cooking",Upfield,What is the price of Blueband?,The price of Blueband is 80rs,Who is the manufacturer of Blueband?,The manufacturer of Blueband is Upfield,How many variants are there of Blueband?,There are no variants (sizes) of Blueband?
Olpers Cream,220,Cream,What is Olpers Cream?,"Olpers Cream is a thick, creamy, and versatile UHT (ultra-high temperature processed) dairy cream made from 100% milk",Engro Foods,What is the price of Olpers Cream?,The price of Olpers Cream is 220rs,Who is the manufacturer of Olpers Cream?,The manufacturer of Olpers Cream is Engro Foods,How many variants are there of Olpers Cream?,There are no variants (sizes) of Olpers Cream?
Milkpak Cream,220,Cream,What is Milkpak Cream?,"Milkpak cream is a versatile dairy cream brand from Nestlé in Pakistan, used in both sweet and savory dishes to add richness and a creamy texture",Nestle,What is the price of Milkpak Cream?,The price of Milkpak Cream is 220rs,Who is the manufacturer of Milkpak Cream?,The manufacturer of Milkpak Cream is Nestle,How many variants are there of Milkpak Cream?,There are no variants (sizes) of Milkpak Cream?
Nurpur Cream,220,Cream,What is Nurpur Cream?,Nurpur cream is a rich and thick dairy cream produced by Fauji Foods Limited in Pakistan,Fauji Foods,What is the price of Nurpur Cream?,The price of Nurpur Cream is 220rs,Who is the manufacturer of Nurpur Cream?,The manufacturer of Nurpur Cream is Fauji Foods,How many variants are there of Nurpur Cream?,There are no variants (sizes) of Nurpur Cream?
Jelly Banana,60,Custard Jelly,What is Jelly Banana?,"Jelly banana by National is a sweet, banana-flavored jelly",CandyLand,What is the price of Jelly Banana?,The price of Jelly Banana is 60rs,Who is the manufacturer of Jelly Banana?,The manufacturer of Jelly Banana is CandyLand,How many variants are there of Jelly Banana?,
Jelly Mixed Fruit,60,Custard Jelly,What is Jelly Mixed Fruit?,National Mixed Fruit Jelly is a quick dessert mix from the brand National Foods that features a blend of sweet and tangy mixed fruit flavors,CandyLand,What is the price of Jelly Mixed Fruit?,The price of Jelly Mixed Fruit is 60rs,Who is the manufacturer of Jelly Mixed Fruit?,The manufacturer of Jelly Mixed Fruit is CandyLand,How many variants are there of Jelly Mixed Fruit?,
Sunlight,40,Detergent,What is Sunlight?,Sunlight dishwashing liquid is formulated to cut through tough grease and burnt-on food,Unilever,What is the price of Sunlight?,The price of Sunlight is 40rs,Who is the manufacturer of Sunlight?,The manufacturer of Sunlight is Unilever,How many variants are there of Sunlight?,
Bonus,40,Detergent,What is Bonus?,"Bonus is a brand of detergent powder, primarily sold in Pakistan, that aims to provide an effective and fragrant clean",Colgate-Palmolive,What is the price of Bonus?,The price of Bonus is 40rs,Who is the manufacturer of Bonus?,The manufacturer of Bonus is Colgate-Palmolive,How many variants are there of Bonus?,
Ariel,40,Detergent,What is Ariel?,"Ariel detergent is a brand of laundry detergent owned by Procter & Gamble that is designed to remove tough stains and clean clothes effectively, both in automatic washing machines and by hand",P&G,What is the price of Ariel?,The price of Ariel is 40rs,Who is the manufacturer of Ariel?,The manufacturer of Ariel is P&G,How many variants are there of Ariel?,
Surf Excel,40,Detergent,What is Surf Excel?,Surf Excel is a laundry detergent used to clean clothes,Unilever,What is the price of Surf Excel?,The price of Surf Excel is 40rs,Who is the manufacturer of Surf Excel?,The manufacturer of Surf Excel is Unilever,How many variants are there of Surf Excel?,
Brite,40,Detergent,What is Brite?,"Brite is a detergent designed to remove tough stains, brighten whites, and keep colors vibrant",Colgate-Palmolive,What is the price of Brite?,The price of Brite is 40rs,Who is the manufacturer of Brite?,The manufacturer of Brite is Colgate-Palmolive,How many variants are there of Brite?,
Pampers,50,Diaper,What is Pampers?,"Pampers is a brand of baby care products, most notably disposable diapers and wipes",P&G,What is the price of Pampers?,The price of Pampers is 50rs,Who is the manufacturer of Pampers?,The manufacturer of Pampers is P&G,How many variants are there of Pampers?,
Bona Papa,50,Diaper,What is Bona Papa?,"Bona Papa is a leading Pakistani brand of baby hygiene products, including diapers, pants, and wipes",Local,What is the price of Bona Papa?,The price of Bona Papa is 50rs,Who is the manufacturer of Bona Papa?,The manufacturer of Bona Papa is Local,How many variants are there of Bona Papa?,
Canbebe,50,Diaper,What is Canbebe?,Canbebe is a brand of baby diapers and hygiene products ,Ontex,What is the price of Canbebe?,The price of Canbebe is 50rs,Who is the manufacturer of Canbebe?,The manufacturer of Canbebe is Ontex,How many variants are there of Canbebe?,
Royal Ozone,50,Diaper,What is Royal Ozone?,"Royal Ozone is a brand name for a line of baby products, primarily diapers and baby wipes",Local,What is the price of Royal Ozone?,The price of Royal Ozone is 50rs,Who is the manufacturer of Royal Ozone?,The manufacturer of Royal Ozone is Local,How many variants are there of Royal Ozone?,
Gastril,5,Digestion Pill,What is Gastril?,"Gastril is a medication used to treat acidity, heartburn, and stomach ulcers",PharmEvo,What is the price of Gastril?,The price of Gastril is 5rs,Who is the manufacturer of Gastril?,The manufacturer of Gastril is PharmEvo,How many variants are there of Gastril?,There are no variants (sizes) of Gastril?
Vermicelli,100,Food Packet,What is Vermicelli?,"Vermicelli is a type of pasta made from fine, long, solid strands, thinner than spaghetti",Kolson,What is the price of Vermicelli?,The price of Vermicelli is 100rs,Who is the manufacturer of Vermicelli?,The manufacturer of Vermicelli is Kolson,How many variants are there of Vermicelli?,
Quorma,160,Food Packet,What is Quorma?,"Korma is a rich, flavorful curry dish originating from the Indian subcontinent, characterized by meat or vegetables braised in a thick, creamy sauce made from yogurt or cream, nuts (like almonds or cashews), and spices",Shan Foods,What is the price of Quorma?,The price of Quorma is 160rs,Who is the manufacturer of Quorma?,The manufacturer of Quorma is Shan Foods,How many variants are there of Quorma?,
Biryani,160,Food Packet,What is Biryani?,"Biryani is a popular South Asian mixed rice dish made by layering marinated meat (or vegetables) with rice and spices, then cooking them together in a sealed pot to allow the flavors to meld",Shan Foods,What is the price of Biryani?,The price of Biryani is 160rs,Who is the manufacturer of Biryani?,The manufacturer of Biryani is Shan Foods,How many variants are there of Biryani?,
Coriander,100,Food Packet,What is Coriander?,"Coriander can refer to either the herb (leaves and stems, also called cilantro in the United States) or the spice (dried seeds) of the Coriandrum sativum plant",Shan Foods,What is the price of Coriander?,The price of Coriander is 100rs,Who is the manufacturer of Coriander?,The manufacturer of Coriander is Shan Foods,How many variants are there of Coriander?,
Kasuri Methi,100,Food Packet,What is Kasuri Methi?,"Kasuri methi is the dried leaves of the fenugreek plant, commonly used as an herb in Indian, Middle Eastern, and North African cuisines.",Shan,What is the price of Kasuri Methi?,The price of Kasuri Methi is 100rs,Who is the manufacturer of Kasuri Methi?,The manufacturer of Kasuri Methi is Shan,How many variants are there of Kasuri Methi?,
Garam Masala,100,Food Packet,What is Garam Masala?,"Garam masala is a pungent and aromatic blend of ground spices used in Indian, Pakistani, and other South Asian cuisines",Shan,What is the price of Garam Masala?,The price of Garam Masala is 100rs,Who is the manufacturer of Garam Masala?,The manufacturer of Garam Masala is Shan,How many variants are there of Garam Masala?,
Bombay Biryani,160,Food Packet,What is Bombay Biryani?,"Bombay Biryani is a popular Indian dish from Mumbai (formerly Bombay) that features layers of basmati rice, meat (like chicken or mutton), potatoes, and a distinctive blend of sweet, spicy, and tangy flavors, often including ingredients like dried plums and fried onions.",Shan Foods,What is the price of Bombay Biryani?,The price of Bombay Biryani is 160rs,Who is the manufacturer of Bombay Biryani?,The manufacturer of Bombay Biryani is Shan Foods,How many variants are there of Bombay Biryani?,
Pebbles,10,Jelly,What is Pebbles?,"Pebbles candy is a type of novelty candy that is designed to look like small, colorful pebbles or river stones",CandyLand,What is the price of Pebbles?,The price of Pebbles is 10rs,Who is the manufacturer of Pebbles?,The manufacturer of Pebbles is CandyLand,How many variants are there of Pebbles?,
Wobbly,10,Jelly,What is Wobbly?,"Wobbly is a fruit-flavored jelly candies (gelatin desserts) known for their soft, shaking texture",Mayfair,What is the price of Wobbly?,The price of Wobbly is 10rs,Who is the manufacturer of Wobbly?,The manufacturer of Wobbly is CandyLand,How many variants are there of Wobbly?,
Peach Jelly,10,Jelly,What is Peach Jelly?,"Peach jelly is a smooth, translucent fruit preserve made from peach juice, sugar, and pectin .",CandyLand,What is the price of Peach Jelly?,The price of Peach Jelly is 10rs,Who is the manufacturer of Peach Jelly?,The manufacturer of Peach Jelly is CandyLand,How many variants are there of Peach Jelly?,
